i,x,y
0,1905,2760
1,1910,2758
2,1915,2764
3,1915,2765
4,1918,2754
5,1878,2731
6,1875,2728
7,1870,2725
8,1882,2727
9,1943,2804
10,1841,2715
11,1798,2697
12,1956,2698
13,1792,2695
14,1794,2692
15,1914,2642
16,1781,2697
17,2012,2857
18,1783,2700
19,1776,2687
20,1785,2704
21,1781,2707
22,1785,2683
23,1909,2608
24,2040,2874
25,1755,2664
26,1957,2635
27,1750,2660
28,2001,2661
29,1802,2744
30,1748,2666
31,2058,2887
32,1796,2743
33,1752,2647
34,1751,2647
35,1750,2646
36,2012,2650
37,1749,2648
38,2019,2666
39,2063,2893
40,1750,2641
41,2062,2893
42,1748,2654
43,1732,2669
44,2021,2669
45,2060,2895
46,1743,2651
47,1740,2651
48,1737,2646
49,1765,2689
50,2052,2907
51,2050,2908
52,2049,2909
53,1744,2619
54,2057,2909
55,1726,2666
56,2060,2912
57,2052,2915
58,1737,2615
59,1751,2695
60,2064,2914
61,2042,2918
62,2057,2918
63,2068,2917
64,2060,2920
65,1728,2612
66,1728,2612
67,1728,2611
68,2071,2919
69,1730,2623
70,2064,2922
71,1725,2615
72,1724,2615
73,2075,2921
74,1816,2801
75,1773,2718
76,2068,2925
77,1720,2617
78,2079,2924
79,2072,2926
80,1818,2806
81,1812,2796
82,2097,2933
83,1718,2603
84,2082,2927
85,2075,2928
86,1810,2794
87,2100,2935
88,1809,2793
89,1716,2599
90,1807,2809
91,2091,2933
92,2086,2929
93,1762,2712
94,1815,2790
95,2102,2938
96,1715,2597
97,2079,2932
98,2092,2940
99,1712,2606
100,2089,2930
101,1805,2790
102,1812,2787
103,2105,2940
104,2089,2938
105,1801,2797
106,2095,2942
107,2082,2934
108,1813,2786
109,2098,2945
110,1807,2783
111,2085,2936
112,1808,2782
113,2101,2947
114,1778,2742
115,1711,2586
116,1822,2828
117,1948,2607
118,4526,3337
119,4519,3337
120,4533,3337
121,4520,3329
122,4536,3340
123,4515,3334
124,4513,3340
125,4520,3324
126,4541,3336
127,4510,3342
128,4512,3326
129,4517,3347
130,4511,3319
131,4536,3345
132,4531,3345
133,4517,3357
134,4504,3314
135,4516,3360
136,4527,3345
137,4505,3354
138,4514,3353
139,4506,3308
140,4486,3350
141,4506,3325
142,4507,3364
143,4484,3352
144,4537,3365
145,4534,3360
146,4508,3369
147,4507,3317
148,4494,3363
149,4488,3315
150,4515,3298
151,4482,3359
152,4496,3365
153,4531,3369
154,4515,3300
155,4490,3360
156,4487,3319
157,4532,3372
158,4500,3376
159,4500,3368
160,4493,3369
161,4518,3293
162,4536,3372
163,4525,3369
164,4474,3362
165,4478,3367
166,4520,3297
167,4476,3369
168,4509,3376
169,4482,3369
170,4467,3339
171,4478,3303
172,4521,3312
173,4517,3300
174,4532,3379
175,4522,3377
176,4472,3372
177,4516,3390
178,4475,3300
179,4531,3382
180,4537,3379
181,4474,3377
182,4519,3317
183,4528,3303
184,4489,3384
185,4467,3373
186,4546,3360
187,4469,3379
188,4532,3388
189,4478,3314
190,4464,3370
191,4549,3358
192,4471,3384
193,4546,3364
194,4530,3391
195,4535,3310
196,4538,3306
197,4544,3372
198,4474,3385
199,4460,3369
200,4499,3384
201,4475,3386
202,4528,3396
203,4475,3381
204,4552,3351
205,4539,3311
206,4460,3365
207,4469,3318
208,4554,3365
209,4542,3378
210,4555,3350
211,4537,3308
212,4457,3362
213,4482,3389
214,4468,3397
215,4556,3348
216,4527,3403
217,4544,3382
218,4542,3317
219,4551,3381
220,4557,3356
221,4459,3391
222,4463,3381
223,4455,3381
224,4462,3357
225,4546,3384
226,4455,3357
227,4489,3393
228,4511,3389
229,4480,3287
230,4504,3400
231,4562,3369
232,4559,3345
233,4464,3360
234,4455,3387
235,4524,3409
236,4456,3248
237,4453,3248
238,4460,3249
239,4458,3252
240,4452,3245
241,4451,3245
242,4454,3243
243,4448,3247
244,4446,3251
245,4447,3255
246,4468,3243
247,4447,3238
248,4446,3247
249,4470,3246
250,4463,3237
251,4464,3236
252,4440,3257
253,4444,3242
254,4461,3235
255,4472,3248
256,4462,3233
257,4439,3244
258,4474,3242
259,4440,3235
260,4436,3259
261,4460,3234
262,4474,3256
263,4476,3256
264,4425,3265
265,4423,3262
266,4468,3285
267,4427,3232
268,4421,3267
269,4448,3224
270,4448,3223
271,4421,3269
272,4418,3266
273,4449,3224
274,4414,3262
275,4416,3270
276,4446,3218
277,4414,3268
278,4445,3219
279,4464,3295
280,4415,3273
281,4483,3212
282,4441,3217
283,4482,3212
284,4411,3267
285,4484,3213
286,4480,3212
287,4484,3209
288,4488,3276
289,4409,3272
290,4416,3222
291,4462,3301
292,4476,3210
293,4416,3285
294,4483,3205
295,4464,3305
296,4412,3217
297,4410,3279
298,4460,3307
299,4412,3286
300,4461,3310
301,4484,3195
302,4501,3279
303,4485,3191
304,4456,3315
305,4412,3297
306,4487,3193
307,4409,3295
308,4453,3314
309,4408,3241
310,4490,3295
311,4403,3228
312,4407,3293
313,4452,3316
314,4488,3184
315,4403,3299
316,4402,3294
317,4403,3301
318,4462,3327
319,4450,3307
320,4485,3183
321,4490,3181
322,4492,3180
323,4460,3329
324,4413,3194
325,4397,3238
326,4407,3253
327,4462,3329
328,4411,3195
329,4402,3241
330,4394,3305
331,4393,3303
332,4408,3258
333,4396,3243
334,4386,3298
335,4397,3229
336,4396,3248
337,4397,3255
338,4389,3242
339,4402,3200
340,4413,3182
341,4396,3226
342,4458,3345
343,4389,3292
344,4400,3224
345,4395,3220
346,4386,3256
347,4375,3301
348,4393,3266
349,4515,3169
350,4452,3350
351,4391,3265
352,4457,3355
353,4389,3255
354,5467,4539
355,5449,4543
356,5456,4520
357,5475,4567
358,5451,4514
359,5478,4571
360,5464,4509
361,5442,4513
362,5482,4581
363,5433,4506
364,5455,4493
365,5434,4546
366,5449,4577
367,5485,4597
368,5418,4508
369,5445,4482
370,5418,4494
371,5474,4598
372,5489,4607
373,5442,4484
374,5418,4546
375,5409,4522
376,5440,4477
377,5424,4528
378,5452,4479
379,5410,4516
380,5437,4481
381,5439,4489
382,5412,4545
383,5446,4489
384,5485,4616
385,5454,4483
386,5450,4474
387,5477,4608
388,5406,4519
389,5412,4531
390,5467,4590
391,5449,4492
392,5433,4472
393,5406,4510
394,5433,4486
395,5403,4517
396,5397,4523
397,5431,4474
398,5483,4607
399,5472,4609
400,5496,4621
401,5395,4523
402,5463,4471
403,5474,4616
404,5434,4478
405,5421,4580
406,5426,4477
407,5427,4470
408,5478,4590
409,5398,4552
410,5427,4464
411,5387,4520
412,5429,4481
413,5424,4466
414,5385,4520
415,5422,4481
416,5396,4548
417,5398,4538
418,5465,4617
419,5509,4625
420,5468,4628
421,5398,4539
422,5381,4519
423,5424,4485
424,5419,4476
425,5400,4544
426,5465,4630
427,5387,4556
428,5486,4637
429,5389,4513
430,5422,4452
431,5465,4610
432,5415,4470
433,5457,4618
434,5387,4553
435,5420,4455
436,5389,4536
437,5412,4466
438,5385,4549
439,5452,4617
440,5416,4452
441,5370,4511
442,5422,4460
443,5461,4623
444,5384,4547
445,5522,4633
446,5377,4561
447,5449,4619
448,5369,4510
449,5414,4445
450,5462,4600
451,5412,4461
452,5485,4649
453,5377,4551
454,5423,4464
455,5376,4564
456,5521,4636
457,5411,4452
458,5416,4442
459,5367,4506
460,5411,4456
461,5383,4563
462,5445,4621
463,5373,4551
464,5378,4507
465,5519,4639
466,5366,4509
